render_ms throttle_clock_ms throttle_work_ms throttle_sleep_ms markers frame_timestamp_ns
17.41725000 18.15841700 18.15820900 0.00020800 3 274529469007583
15.95712500 15.17320800 4.98937400 10.18383400 3 274529484964708
17.42312500 18.15575000 18.15562400 0.00012600 3 274529502387791
15.84566600 15.18625000 5.00125000 10.18500000 3 274529518233500
17.12937500 17.87666700 17.87646000 0.00020700 3 274529535362833
16.02154200 15.31216700 4.87483500 10.43733200 3 274529551384416
17.09512500 17.78675000 17.78658400 0.00016600 3 274529568479666
16.44041700 15.68133300 4.85133300 10.83000000 3 274529584920041
17.19541600 17.88345800 17.88325000 0.00020800 3 274529602115375
16.29100000 15.58020900 5.03866700 10.54154200 3 274529618406333
17.39966700 18.13108300 18.13095800 0.00012500 3 274529635806000
15.95695800 15.23233300 4.95304200 10.27929100 3 274529651763000
17.37191700 18.15966700 18.15950000 0.00016700 3 274529669134916
15.90300000 15.05400000 4.92454300 10.12945700 3 274529685038000
17.36329200 18.18525000 18.18504200 0.00020800 3 274529702401166
16.06433300 15.31475000 5.00216700 10.31258300 3 274529718465541
17.29825000 18.09045800 18.09024900 0.00020900 3 274529735763791
16.26425000 15.31112500 4.95220700 10.35891800 3 274529752028000
17.28375000 18.19454200 18.19437600 0.00016600 3 274529769311750
16.09987500 15.16275000 4.90758400 10.25516600 3 274529785411666
17.31029200 18.26850000 18.26833400 0.00016600 3 274529802721916
16.08158300 15.14229200 4.94045700 10.20183500 3 274529818803458
17.26137500 18.21941600 18.21920700 0.00020900 3 274529836064875
16.04529200 15.08920900 4.88925000 10.19995900 3 274529852110208
17.43666600 18.35133300 18.35112500 0.00020800 3 274529869546875
15.93037500 15.03179200 4.91750000 10.11429200 3 274529885477333
17.29583400 18.20470800 18.20454300 0.00016500 3 274529902773083
15.95329100 14.99541700 4.92454200 10.07087500 3 274529918726375
17.25512500 18.20725000 18.20712500 0.00012500 3 274529935981458
16.08766700 15.22000000 5.02720800 10.19279200 3 274529952069250
17.57725000 18.36920800 18.36887500 0.00033300 3 274529969646750
15.88741700 15.01620800 5.16904200 9.84716600 3 274529985534000
17.73350000 18.67737500 18.67712600 0.00024900 3 274530003267375
15.86262500 14.80475000 5.07549900 9.72925100 3 274530019130083
18.44400000 19.52137500 19.52112500 0.00025000 3 274530037573958
14.84737500 13.84879200 5.07283400 8.77595800 3 274530052421333
18.10037500 19.12766700 19.12741700 0.00025000 3 274530070521666
15.29087500 14.25787500 5.00583400 9.25204100 3 274530085812666
18.42704100 19.44462500 19.44441700 0.00020800 3 274530104239625
14.91170900 13.88479100 4.98708200 8.89770900 3 274530119151458
17.97275000 18.95679200 18.95658400 0.00020800 3 274530137124041
15.43041600 14.42970800 5.04400000 9.38570800 3 274530152554625
18.22000000 19.26991700 19.26966700 0.00025000 3 274530170774500
15.33483400 14.07645800 5.13949900 8.93695900 3 274530186109416
18.20766600 19.43745900 19.43725000 0.00020900 3 274530204317000
14.98641700 13.99645800 5.12229200 8.87416600 3 274530219303416
18.25833300 19.16245800 19.16224900 0.00020900 3 274530237561750
15.17933400 14.24012500 5.21666600 9.02345900 3 274530252741083
17.90950000 18.95541700 18.95529300 0.00012400 3 274530270650583
15.29150000 14.35554200 5.06400100 9.29154100 3 274530285942083
19.39237500 19.92012500 19.91962500 0.00050000 3 274530305334708
14.23820800 13.62912500 5.68275000 7.94637500 3 274530319572791
17.01058300 17.87958300 17.87933300 0.00025000 3 274530336583208
16.30741700 15.48120800 5.36262400 10.11858400 3 274530352890708
17.31458300 18.25829200 18.25758400 0.00070800 3 274530370205250
16.14762500 15.02745800 5.31991600 9.70754200 3 274530386352875
18.26445900 19.36870900 19.36820900 0.00050000 3 274530404617333
15.27754100 14.19004100 5.47962300 8.71041800 3 274530419894958
18.79216700 19.62708400 19.62633300 0.00075100 3 274530438687000
14.38487500 13.61666600 5.59470900 8.02195700 3 274530453072000
18.41345800 19.38854200 19.38837500 0.00016700 3 274530471485500
14.79225000 13.90300000 5.15625100 8.74674900 3 274530486277625
18.63604200 19.49875000 19.49845900 0.00029100 3 274530504913750
15.26916700 14.10654200 5.57283300 8.53370900 3 274530520183000
20.34975000 21.50262500 21.50200000 0.00062500 3 274530540532666
12.82729100 11.72345800 5.67804200 6.04541600 3 274530553359875
18.18279200 18.33300000 18.33279200 0.00020800 3 274530571542750
18.05258300 18.05533300 18.05495600 0.00037700 3 274530589595208
17.47195900 17.49858400 17.49812600 0.00045800 3 274530607067375
17.22508300 17.24291600 17.24274800 0.00016800 3 274530624292291
17.45979200 17.44500000 17.44479300 0.00020700 3 274530641752000
17.27454100 17.21591700 17.21570800 0.00020900 3 274530659026583
17.34554200 17.33604200 17.33583300 0.00020900 3 274530676372208
16.97533300 17.07287500 17.07266600 0.00020900 3 274530693347500
17.12620900 17.08400000 17.08387400 0.00012600 3 274530710473708
16.75529100 16.81420800 16.81404100 0.00016700 3 274530727228958
16.88408400 16.88070800 16.88050100 0.00020700 3 274530744113083
17.18495800 17.13612500 17.13600000 0.00012500 3 274530761298041
17.06250000 17.07783400 17.07770800 0.00012600 3 274530778360541
16.75262500 16.79370800 16.79350000 0.00020800 3 274530795113125
17.28712500 17.24854200 17.24837400 0.00016800 3 274530812400250
17.07716700 17.13775000 17.13758200 0.00016800 3 274530829477375
17.23958300 17.12220800 17.12204200 0.00016600 3 274530846717000
