frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
21,20,139,1,2420924220,-5.515417,0.041916,617,0,-23.660529,-23.477500,22.192084,22.086156,22.073536,0.000000,0.000458,0.000000,0.000000,0.041708,0.008583,0.943917,643,8117991,179111,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,21,141,1,2429032320,-0.287500,0.029167,613,1,-1.749278,-1.252291,11.455416,11.322707,6.761090,0.000000,4.540999,4.043638,0.496987,0.029000,0.018500,0.476208,632,8091820,164008,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22,143,1,2437140420,-5.821334,0.025792,616,0,-23.966445,-23.469458,22.217167,22.117042,22.095819,0.000000,0.000291,0.000000,0.000000,0.025667,0.006666,0.922459,647,8102891,166861,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,23,145,1,2445248520,-0.156458,0.035750,614,1,-1.618236,-1.225250,11.018458,10.940293,6.711705,0.000000,4.229749,3.836430,0.392986,0.035542,0.015542,0.449125,635,8122233,165283,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,24,147,1,2453356620,-5.286500,0.033500,616,0,-23.431611,-23.038625,21.813375,21.705500,21.707753,0.000000,0.000374,0.000000,0.000000,0.033334,0.015250,1.247208,642,8102687,175097,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,25,149,1,2461464720,-0.525292,0.034125,613,1,-1.987070,-1.303083,11.922125,11.823774,6.729239,0.000000,5.094917,4.410638,0.683987,0.034000,0.018125,0.305208,640,8106999,153705,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,26,151,1,2469572820,-5.796833,0.037500,616,0,-23.941945,-23.257958,21.954875,21.841573,21.840090,0.000000,0.000292,0.000000,0.000000,0.037292,0.012667,0.744500,642,8102630,173156,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,27,153,1,2477680920,-0.263250,0.039250,613,1,-1.725028,-1.291166,11.149750,11.031571,6.689709,0.000000,4.346084,3.911888,0.433862,0.039042,0.015333,0.288625,633,8107253,161385,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,28,155,1,2485789020,-5.567376,0.028500,614,0,-23.712487,-23.278625,21.987459,21.855041,21.850855,0.000000,0.000415,0.000000,0.000000,0.028250,0.006375,0.749083,645,8071554,159868,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,29,157,1,2493897120,-0.308750,0.034125,615,1,-1.770528,-1.214583,11.424708,11.344099,6.624939,0.000000,4.716959,4.160805,0.555945,0.033958,0.025667,1.097375,636,8122666,161406,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,30,159,1,2502005220,-5.765667,0.029792,615,0,-23.910778,-23.354833,22.140250,22.007155,21.992577,0.000000,0.000376,0.000000,0.000000,0.029583,0.006792,1.129416,639,8087202,169524,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,31,161,1,2510113320,-0.301126,0.030666,613,1,-1.762904,-1.266125,11.218792,11.110854,6.575319,0.000000,4.536958,4.039846,0.496779,0.030500,0.016083,0.486291,640,8107036,149501,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,32,163,1,2518221420,-5.735208,0.036834,620,0,-23.880320,-23.383541,22.117416,22.028683,22.008013,0.000000,0.000334,0.000000,0.000000,0.036667,0.015750,1.131875,646,8133510,171494,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,33,165,1,2526329520,-0.236625,0.031459,610,1,-1.698403,-1.228291,11.184750,11.071838,6.608606,0.000000,4.460750,3.990097,0.470112,0.031292,0.009833,0.664667,629,8076341,156228,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,34,167,1,2534437620,-5.483126,0.038375,619,0,-23.628237,-23.158125,21.929834,21.840381,21.837959,0.000000,0.000333,0.000000,0.000000,0.038208,0.013333,1.313916,650,8133357,163452,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,35,169,1,2542545720,-0.062500,0.032125,613,1,-1.524278,-1.194833,11.262708,11.174691,6.511243,0.000000,4.664458,4.334805,0.329445,0.031917,0.042291,0.654292,634,8107218,156168,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,36,171,1,2550653820,-5.140500,0.041542,617,0,-23.285611,-22.956166,21.761333,21.645310,21.617965,0.000000,0.000251,0.000000,0.000000,0.041334,0.018625,1.107708,641,8102638,166464,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,37,173,1,2558761920,0.052916,0.052958,612,2,-0.805084,-0.800750,11.489917,11.371688,7.105300,0.000000,4.474126,4.469679,0.004363,0.032208,0.031167,0.609792,639,8091601,144533,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,38,175,1,2566870020,-5.783083,0.048417,617,0,-23.324417,-23.320083,22.519333,22.399926,22.345040,0.000000,0.000416,0.000000,0.000000,0.048125,0.012917,1.054833,643,8118044,166933,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,39,177,1,2574978120,-0.167084,0.035041,611,1,-1.628862,-1.229917,11.067334,10.939630,6.699629,0.000000,4.244500,3.845222,0.398945,0.034875,0.011000,0.290250,631,8091823,153803,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,40,179,1,2583086220,-5.478792,0.041625,617,0,-23.623903,-23.224958,21.995041,21.897708,21.834193,0.000000,0.000375,0.000000,0.000000,0.041417,0.017208,1.155459,648,8087019,154846,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,41,181,1,2591194320,-0.379542,0.029125,612,1,-1.841320,-1.197084,11.584084,11.451080,6.479549,0.000000,4.979708,4.334722,0.644236,0.028916,0.014042,0.609375,633,8122672,153539,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,42,183,1,2599302420,-5.397084,0.029458,616,0,-23.542195,-22.897959,21.700875,21.603792,21.611915,0.000000,0.000250,0.000000,0.000000,0.029250,0.016625,0.924749,640,8102621,164322,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,43,185,1,2607410520,-0.490084,0.027292,612,1,-1.951862,-1.237125,11.776333,11.656122,6.466166,0.000000,5.188291,4.473263,0.714737,0.027083,0.006625,0.293917,639,8091605,142057,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,44,187,1,2615518620,-5.644625,0.038750,620,0,-23.789737,-23.075000,21.837875,21.756623,21.757120,0.000000,0.000501,0.000000,0.000000,0.038542,0.011083,1.654084,646,8133504,164947,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,45,189,1,2623626720,0.095458,0.097500,615,2,-0.762542,-0.754333,10.943250,10.896713,7.249180,0.000000,4.284167,4.275430,0.008446,0.034542,0.074125,0.294583,635,8138131,153977,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,46,191,1,2631734820,-5.125209,0.044583,615,0,-22.666542,-22.658333,21.904000,21.722921,21.651629,0.000000,0.000334,0.000000,0.000000,0.044458,0.010959,1.261833,646,8056127,147739,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,47,193,1,2639842920,-0.654708,0.030542,611,1,-2.116486,-1.267875,12.212833,12.099577,6.533782,0.000000,5.574750,4.725597,0.848611,0.030459,0.019125,0.610333,632,8107235,148879,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,48,195,1,2647951020,-5.440500,0.030209,617,0,-23.585611,-22.737000,21.469125,21.358678,21.344290,0.000000,0.000334,0.000000,0.000000,0.030000,0.007375,1.088501,642,8087205,158558,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,49,197,1,2656059120,-0.597626,0.063291,617,1,-2.059404,-1.334875,11.840459,11.785782,6.560111,0.000000,5.223626,4.498763,0.724529,0.063083,0.008292,0.624209,644,8153373,141654,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,50,199,1,2664167220,-5.735375,0.034833,616,0,-23.880487,-23.155958,21.821083,21.687702,21.664195,0.000000,0.000376,0.000000,0.000000,0.034625,0.017375,1.069876,642,8071692,155354,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,51,201,1,2672275320,-0.384834,0.037625,613,1,-1.846612,-1.322459,11.332792,11.238833,6.616764,0.000000,4.624167,4.099597,0.524153,0.037416,0.020209,0.608375,633,8109098,146550,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,52,203,1,2680383420,-5.996001,0.033875,617,0,-24.141112,-23.616959,22.294500,22.200954,22.171132,0.000000,0.000293,0.000000,0.000000,0.033666,0.048959,1.121083,648,8116106,148369,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,53,205,1,2688491520,-0.068083,0.037709,614,1,-1.529861,-1.190041,10.755416,10.636743,6.574937,0.000000,4.055043,3.715014,0.339820,0.037542,0.044708,0.607375,634,8107202,144400,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,54,207,1,2696599620,-5.802917,0.054708,616,0,-23.948028,-23.608208,22.418167,22.283037,22.232340,0.000000,0.000458,0.000000,0.000000,0.054500,0.024750,0.736375,641,8102617,155065,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,55,209,1,2704707720,-0.257501,0.033916,613,1,-1.719279,-1.286875,11.137917,11.036082,6.663034,0.000000,4.345708,3.913096,0.432404,0.033750,0.038375,0.319000,639,8107071,133827,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,56,211,1,2712815820,-5.615750,0.035833,615,0,-23.760862,-23.328458,22.041583,21.904302,21.868999,0.000000,0.000333,0.000000,0.000000,0.035583,0.011000,1.090043,641,8093401,152392,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,57,213,1,2720923920,-0.394292,0.033250,611,1,-1.856070,-1.268708,11.461875,11.365306,6.552688,0.000000,4.805958,4.218263,0.587362,0.033042,0.015375,0.444959,631,8116435,142563,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,58,215,1,2729032020,-5.829417,0.033875,617,0,-23.974528,-23.387166,22.118458,22.009429,21.966220,0.000000,0.000375,0.000000,0.000000,0.033750,0.008542,0.769916,647,8102461,142672,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
60,59,217,1,2737140120,-0.315375,0.025667,611,1,-1.777153,-1.207667,11.169292,11.035631,6.279462,0.000000,4.751332,4.181514,0.569486,0.025458,0.017834,0.324500,632,8091776,139170,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,60,219,1,2745248220,-5.329834,0.028416,616,0,-23.474945,-22.905459,21.697792,21.598642,21.588666,0.000000,0.000293,0.000000,0.000000,0.028250,0.009208,1.629501,641,8088207,149131,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,61,221,1,2753356320,-0.641417,0.026084,615,1,-2.103195,-1.271125,11.994916,11.896001,6.370832,0.000000,5.533667,4.701263,0.832070,0.025917,0.016042,0.477834,642,8121479,133013,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,62,223,1,2761464420,-5.777292,0.031208,616,0,-23.922404,-23.090334,21.819209,21.740618,21.723359,0.000000,0.000333,0.000000,0.000000,0.031125,0.037916,0.917750,641,8118081,150013,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,63,225,1,2769572520,-0.328959,0.031375,616,1,-1.790737,-1.207042,11.235000,11.093603,6.303592,0.000000,4.802000,4.217972,0.583695,0.031166,0.017209,0.609333,636,8091819,136552,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,64,227,1,2777680620,-5.388542,0.030292,618,0,-23.533653,-22.949958,21.742916,21.618704,21.623574,0.000000,0.000500,0.000000,0.000000,0.030084,0.017875,0.905249,650,8102423,142277,0,302,0,302,0,0,0,0,0,0,23098,14400,4680,4018,0
66,65,229,1,2785788720,-0.537083,0.027875,611,1,-1.998861,-1.219708,11.831875,11.731404,6.334073,0.000000,5.381209,4.601597,0.779153,0.027709,0.021083,0.446583,631,8107279,137670,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,66,231,1,2793896820,-5.217459,0.025541,616,0,-23.362570,-22.583417,21.363709,21.285419,21.275194,0.000000,0.000291,0.000000,0.000000,0.025458,0.039500,1.052042,641,8102645,146530,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
68,67,233,1,2802004920,0.111041,0.115083,620,2,-0.746959,-0.744667,11.354833,11.340660,7.392575,0.000000,4.847999,4.845179,0.002487,0.031833,0.131375,0.618333,647,8184249,137174,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
69,68,235,1,2810113020,-4.819958,0.032417,611,0,-22.361292,-22.359000,21.614333,21.390621,21.383020,0.000000,0.000375,0.000000,0.000000,0.032209,0.013541,0.912708,636,8025442,138808,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,69,237,1,2818221120,-0.946875,0.046167,610,1,-2.408653,-1.323791,12.810250,12.725510,6.452722,0.000000,6.256417,5.171138,1.084862,0.046000,0.011959,0.289791,634,8091692,131435,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
71,70,239,1,2826329220,-6.118834,0.040792,620,0,-24.263945,-23.179083,21.855292,21.740194,21.742361,0.000000,0.000292,0.000000,0.000000,0.040625,0.013333,1.266500,647,8133410,142678,0,302,0,302,0,0,0,0,0,0,21527,14400,3654,3473,0
72,71,241,1,2834437320,-0.189792,0.033250,611,1,-1.651570,-1.195917,10.754292,10.634736,6.225527,0.000000,4.409167,3.953222,0.455653,0.033166,0.007375,0.349666,631,8091806,131326,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,72,243,1,2842545420,-5.297334,0.037708,620,0,-23.442445,-22.986792,21.790875,21.740302,21.708484,0.000000,0.000417,0.000000,0.000000,0.037541,0.051375,1.086083,651,8124723,143965,0,302,0,302,0,0,0,0,0,0,23128,14400,4680,4048,0
74,73,245,1,2850653520,-0.478001,0.040208,610,1,-1.939779,-1.258084,11.864000,11.712214,6.510170,0.000000,5.078500,4.396388,0.681695,0.040041,0.016959,0.289167,631,8084961,129447,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
75,74,247,1,2858761620,-5.704583,0.030167,616,0,-23.849695,-23.168000,21.909916,21.769445,21.749833,0.000000,0.000375,0.000000,0.000000,0.030000,0.018250,0.927209,642,8087190,142797,0,302,0,302,0,0,0,0,0,0,21374,14400,3510,3464,0
76,75,249,1,2866869720,-0.448167,0.035250,614,1,-1.909945,-1.280542,11.426917,11.348551,6.410993,0.000000,4.927249,4.297388,0.629403,0.035083,0.008459,0.844791,639,8122531,128130,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
77,76,251,1,2874977820,-5.653876,0.034833,614,0,-23.798987,-23.169584,21.889042,21.777177,21.755207,0.000000,0.000459,0.000000,0.000000,0.034625,0.011708,0.932874,640,8118060,140847,0,302,0,302,0,0,0,0,0,0,20602,14400,3510,2692,0
78,77,253,1,2883085920,-0.475875,0.024833,609,1,-1.937653,-1.221167,11.505333,11.389690,6.194443,0.000000,5.187375,4.470514,0.716486,0.024667,0.006000,0.632042,629,8091821,127639,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
79,78,255,1,2891194020,-5.274292,0.065458,618,0,-23.419403,-22.702917,21.481750,21.409707,21.348666,0.000000,0.000459,0.000000,0.000000,0.065208,0.012250,0.642167,649,8117915,134951,0,302,0,302,0,0,0,0,0,0,22262,14400,4680,3182,0
80,79,257,1,2899302120,-0.641584,0.033083,611,1,-2.103362,-1.224917,12.050625,11.918848,6.234759,0.000000,5.684583,4.805555,0.878445,0.032958,0.009459,0.289042,631,8091743,126400,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
81,80,259,1,2907410220,-5.130042,0.030625,617,0,-23.275154,-22.396709,21.171792,21.094931,21.100391,0.000000,0.000292,0.000000,0.000000,0.030416,0.049084,0.582125,643,8118089,139186,0,302,0,302,0,0,0,0,0,0,20422,14400,3510,2512,0
82,81,261,1,2915518320,-0.792209,0.031750,613,1,-2.253987,-1.269959,12.345500,12.229425,6.216245,0.000000,6.001208,5.016972,0.984028,0.031583,0.017000,0.291250,639,8107080,121514,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
83,82,263,1,2923626420,-5.388126,0.034958,614,0,-23.533237,-22.549209,21.279250,21.168216,21.155616,0.000000,0.000376,0.000000,0.000000,0.034750,0.010458,0.585084,640,8087158,136557,0,302,0,302,0,0,0,0,0,0,20251,14400,3510,2341,0
84,83,265,1,2931734520,-0.620375,0.025042,614,1,-2.082153,-1.236958,11.915583,11.787878,6.215978,0.000000,5.577417,4.731930,0.845195,0.024875,0.014875,0.290584,634,8107271,124803,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
85,84,267,1,2939842620,-5.144167,0.026458,614,0,-23.289278,-22.444083,21.207125,21.101388,21.073782,0.000000,0.000249,0.000000,0.000000,0.026333,0.021000,0.580208,645,8087039,128413,0,302,0,302,0,0,0,0,0,0,22707,14400,4680,3627,0
86,85,269,1,2947950720,-0.752042,0.031084,611,1,-2.213820,-1.209000,12.291208,12.212902,6.148395,0.000000,6.062915,5.057846,1.004820,0.030875,0.008834,0.293958,632,8130299,125923,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
87,86,271,1,2956058820,-5.285167,0.034125,615,0,-23.430279,-22.425459,21.216459,21.088260,21.096371,0.000000,0.000334,0.000000,0.000000,0.034000,0.018500,0.580750,640,8079539,131054,0,302,0,302,0,0,0,0,0,0,21090,14400,3510,3180,0
88,87,273,1,2964166920,-0.259250,0.033292,615,1,-1.721028,-1.371500,11.657416,11.558357,6.283954,0.000000,5.220417,4.870597,0.349528,0.033125,0.014959,0.290458,641,8122536,119059,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
89,88,275,1,2972275020,-4.777751,0.037458,615,0,-22.922862,-22.573334,21.201834,21.114403,21.104872,0.000000,0.000417,0.000000,0.000000,0.037250,0.015750,0.599792,641,8102578,131697,0,302,0,302,0,0,0,0,0,0,21093,14400,3510,3183,0
90,89,277,1,2980383120,0.110833,0.111708,615,1,-1.350945,-1.349959,11.794750,11.790037,6.734413,0.000000,5.359876,5.358514,0.000986,0.056208,0.108417,0.291958,635,8169031,129178,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
91,90,279,1,2988491220,-5.385417,0.058667,614,0,-23.530528,-23.529542,22.179583,21.990871,21.911296,0.000000,0.000707,0.000000,0.000000,0.058458,0.012834,0.588000,645,8056135,121885,0,302,0,302,0,0,0,0,0,0,22857,14400,4680,3777,0
92,91,281,1,2996599320,-0.656042,0.041750,610,1,-2.117820,-1.319875,11.953958,11.834212,6.397615,0.000000,5.442583,4.644221,0.797945,0.041542,0.011042,0.582000,631,8091773,119370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
