frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
18,17,133,1,2396599920,0.130667,-0.044375,0.000042,-0.044333,0.044333,0.130708,619,2,-0.727333,-0.727167,11.365292,11.400009,7.156718,0.000000,4.471584,4.471223,0.000277,0.028083,0.119167,0.300709,646,8184286,170755,0,2,0,2,0,0,0,0,0,0,5753,0,3737,2016,0
19,18,135,1,2404708020,-5.105625,-0.041458,0.000125,-0.041333,0.041333,0.033292,614,0,-22.646958,-22.646792,21.919625,21.746986,21.738262,0.000000,0.000375,0.000000,0.000000,0.033083,0.035459,0.930124,639,8056282,175362,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,19,137,1,2412816120,0.092000,-0.037625,0.000209,-0.037416,0.037416,0.100292,616,2,-0.766000,-0.765958,11.485708,11.467077,7.033856,0.000000,4.631957,4.631179,0.000695,0.033792,0.127958,0.370583,643,8137936,159966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,20,139,1,2420924220,-5.332083,-0.056333,0.000041,-0.056292,0.056292,0.033500,613,0,-22.873417,-22.873375,22.107417,21.858001,21.862915,0.000000,0.000166,0.000000,0.000000,0.033375,0.013833,0.733250,639,8056301,173698,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,21,141,1,2429032320,0.106625,-0.057167,0.000125,-0.057042,0.057042,0.108458,618,2,-0.751375,-0.742042,11.244625,11.245972,7.053988,0.000000,4.428166,4.418597,0.009528,0.032917,0.119416,0.372875,638,8168998,170534,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22,143,1,2437140420,-5.228292,-0.055375,0.000125,-0.055250,0.055250,0.033000,613,0,-22.769625,-22.760292,22.018250,21.809498,21.795070,0.000000,0.000249,0.000000,0.000000,0.032833,0.009375,0.723791,644,8041126,162017,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,23,145,1,2445248520,0.109750,-0.071084,0.000042,-0.071042,0.071042,0.118083,616,2,-0.748250,-0.748167,11.345292,11.329506,6.965083,0.000000,4.558041,4.554556,0.003402,0.033208,0.098750,0.371125,637,8168567,169185,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,24,147,1,2453356620,-4.996208,-0.042416,0.000083,-0.042333,0.042333,0.029167,611,0,-22.537541,-22.537458,21.789291,21.608575,21.607450,0.000000,0.000125,0.000000,0.000000,0.029000,0.009334,0.697334,637,8040855,169990,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,25,149,1,2461464720,0.054416,-0.033292,0.000083,-0.033209,0.033209,0.054458,611,2,-0.803584,-0.790167,11.632709,11.536468,6.827261,0.000000,4.813000,4.798346,0.014612,0.034750,0.029208,0.372583,638,8107047,153709,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,26,151,1,2469572820,-5.101708,-0.058208,0.000083,-0.058125,0.058125,0.034833,616,0,-22.643042,-22.629625,21.839458,21.703324,21.677306,0.000000,0.000209,0.000000,0.000000,0.034708,0.009042,0.774209,642,8102600,173159,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,27,153,1,2477680920,0.138292,-0.056208,0.000042,-0.056166,0.056166,0.138334,618,2,-0.719708,-0.719541,11.443333,11.455963,6.862078,0.000000,4.791876,4.791472,0.000320,0.030375,0.127834,0.471709,638,8184473,167915,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,28,155,1,2485789020,-4.873417,-0.060000,0.000083,-0.059917,0.059917,0.037458,612,0,-22.414750,-22.414583,21.695042,21.481024,21.479505,0.000000,0.000209,0.000000,0.000000,0.037375,0.015500,0.830750,643,8040717,157260,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,29,157,1,2493897120,0.141084,-0.053000,0.000042,-0.052958,0.052958,0.141167,619,2,-0.716916,-0.716833,11.668833,11.669791,6.807495,0.000000,4.905833,4.888181,0.017569,0.027000,0.139709,0.308291,640,8168970,165303,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,30,159,1,2502005220,-4.842917,-0.053792,0.000000,-0.053792,0.053792,0.032500,610,0,-22.384250,-22.384167,21.667334,21.438002,21.421990,0.000000,0.000210,0.000000,0.000000,0.032333,0.009958,1.197500,635,8025449,164306,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,31,161,1,2510113320,0.059250,-0.056458,0.000125,-0.056333,0.056333,0.059334,617,2,-0.798750,-0.798625,11.781166,11.724333,6.760586,0.000000,5.068249,5.067846,0.000320,0.027750,0.049500,0.473500,644,8137905,152199,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,32,163,1,2518221420,-5.016750,-0.070000,0.000041,-0.069959,0.069959,0.029000,615,0,-22.558084,-22.557959,21.759334,21.617965,21.621189,0.000000,0.000166,0.000000,0.000000,0.028875,0.023625,0.933541,642,8087179,167580,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,33,165,1,2526329520,0.113375,-0.057500,0.000083,-0.057417,0.057417,0.113417,617,1,-1.348403,-1.348208,11.553208,11.551078,7.021664,0.000000,4.581750,4.581264,0.000195,0.050625,0.112958,0.636834,636,8169007,162695,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,34,167,1,2534437620,-5.197084,-0.057834,0.000167,-0.057667,0.057667,0.042125,612,0,-23.342195,-23.342000,21.993792,21.784264,21.770046,0.000000,0.000209,0.000000,0.000000,0.041916,0.009834,1.250833,643,8040690,155666,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,35,169,1,2542545720,0.008584,-0.055416,0.000041,-0.055375,0.055375,0.038250,612,1,-1.453194,-1.453041,11.477666,11.376334,6.789913,0.000000,4.579501,4.579222,0.000153,0.038042,0.017167,0.614250,633,8107265,156358,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,36,171,1,2550653820,-5.018458,-0.052250,0.000084,-0.052166,0.052166,0.044500,616,0,-23.163569,-23.163416,21.710375,21.598882,21.591709,0.000000,0.000167,0.000000,0.000000,0.044292,0.015875,1.107500,641,8102595,166461,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,37,173,1,2558761920,0.068541,-0.055959,0.000125,-0.055834,0.055834,0.068708,617,2,-0.789459,-0.789375,11.596334,11.624086,6.794840,0.000000,4.936792,4.916222,0.020404,0.030083,0.164333,0.643208,643,8184301,152124,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,38,175,1,2566870020,-4.920916,-0.039291,0.000083,-0.039208,0.039208,0.039125,610,0,-22.462250,-22.462166,21.672791,21.432456,21.429910,0.000000,0.000250,0.000000,0.000000,0.038959,0.014416,0.909875,635,8009919,156892,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
