frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
18,17,133,1,2396599920,0.140875,-0.040667,0.000083,-0.040584,0.040584,0.140875,619,2,-0.717125,-0.717000,11.431875,11.471359,7.806427,0.000000,4.462125,4.454681,0.007319,0.036625,0.114625,0.610666,646,8184267,169860,0,2,0,2,0,0,0,0,0,0,5670,0,3654,2016,0
19,18,135,1,2404708020,-5.054333,-0.055291,0.000041,-0.055250,0.055250,0.034042,613,0,-22.595666,-22.595541,21.878541,21.655113,21.649414,0.000000,0.000208,0.000000,0.000000,0.033792,0.009708,1.232208,638,8040863,174056,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,19,137,1,2412816120,0.079333,-0.039333,0.000125,-0.039208,0.039208,0.079458,615,2,-0.778667,-0.778542,11.549667,11.508742,6.966245,0.000000,4.713290,4.712929,0.000278,0.030292,0.068875,0.642958,642,8122528,158675,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,20,139,1,2420924220,-5.187291,-0.054333,0.000167,-0.054166,0.054166,0.036834,615,0,-22.728625,-22.728500,21.949958,21.781813,21.769105,0.000000,0.000251,0.000000,0.000000,0.036625,0.009667,0.932375,641,8087114,176179,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,21,141,1,2429032320,0.108458,-0.053084,0.000125,-0.052959,0.052959,0.108583,617,2,-0.749542,-0.746584,11.387584,11.384358,7.130527,0.000000,4.494375,4.489931,0.004361,0.032166,0.098959,0.645458,637,8169075,170540,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22,143,1,2437140420,-5.285292,-0.068500,0.000167,-0.068333,0.068333,0.028875,613,0,-22.826625,-22.823667,22.077083,21.862702,21.856133,0.000000,0.000208,0.000000,0.000000,0.028750,0.025833,1.102626,644,8041102,161555,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,23,145,1,2445248520,0.080667,-0.039500,0.000167,-0.039333,0.039333,0.080833,616,2,-0.777333,-0.774667,11.317375,11.310213,7.202626,0.000000,4.302541,4.299597,0.002860,0.044792,0.086041,0.616875,637,8153098,170207,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,24,147,1,2453356620,-5.177958,-0.041666,0.000083,-0.041583,0.041583,0.047125,613,0,-22.719291,-22.716625,21.941958,21.801831,21.769790,0.000000,0.000167,0.000000,0.000000,0.046959,0.049875,1.083541,638,8071796,172407,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,25,149,1,2461464720,0.029958,-0.031500,0.000167,-0.031333,0.031333,0.034375,611,2,-0.828042,-0.827958,11.475417,11.312639,7.091876,0.000000,4.427876,4.427638,0.000154,0.034208,0.008875,0.322250,638,8076120,151071,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,26,151,1,2469572820,-5.651083,-0.055125,0.000167,-0.054958,0.054958,0.038458,619,0,-23.192417,-23.192333,22.364375,22.279195,22.252173,0.000000,0.000166,0.000000,0.000000,0.038292,0.018333,0.955125,645,8133500,176358,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,27,153,1,2477680920,0.084292,-0.059375,0.000167,-0.059208,0.059208,0.084334,615,2,-0.773708,-0.761125,10.947958,10.901095,7.192492,0.000000,4.043083,4.030180,0.012778,0.032000,0.088000,0.290041,635,8138144,163996,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,28,155,1,2485789020,-5.156834,-0.044917,0.000042,-0.044875,0.044875,0.024708,612,0,-22.698167,-22.685584,21.924459,21.725839,21.714872,0.000000,0.000166,0.000000,0.000000,0.024541,0.007542,0.783000,643,8040668,157342,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
