frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
70575,16.871500,16.790682,11.219785,0.000000,5.577375,5.479195,0.097763,0.050584,0.043583,1.258167,633,8080191,147287,0,5408
70576,16.713834,16.552375,10.773246,0.000000,5.872542,5.726320,0.146138,0.064250,0.012208,0.315708,628,8064821,138028,0,5408
70577,16.580625,16.441131,10.531125,0.000000,6.218000,6.050488,0.167429,0.046375,0.011791,0.934000,642,8086422,130903,0,7210
70578,16.718458,16.604994,11.431164,0.000000,5.939291,5.922211,0.017080,0.057125,0.014125,0.290333,631,8064773,140541,0,5408
70579,17.129292,17.052036,10.966115,0.000000,6.043125,5.866029,0.177013,0.052708,0.043583,0.962333,634,8095685,140457,0,5408
70580,16.174375,16.047637,10.450789,0.000000,6.086958,6.082210,0.004748,0.057208,0.028500,0.609208,640,8071042,128235,0,7210
70581,16.833250,16.708046,10.868966,0.000000,5.827000,5.684071,0.142804,0.047500,0.024416,0.772708,632,8080194,140950,0,5408
70582,16.680041,16.611752,10.721625,0.000000,5.945833,5.798487,0.147221,0.059292,0.052667,1.079167,633,8095702,138957,0,5408
70583,16.612875,16.436001,10.410033,0.000000,6.362376,6.191029,0.171263,0.053250,0.013000,0.459209,638,8055518,128381,0,7210
70584,16.663750,16.563380,10.675466,0.000000,6.060209,5.886030,0.174096,0.043084,0.045166,1.090292,632,8080244,140688,0,5408
70585,16.792750,16.652844,10.781627,0.000000,6.048833,5.903779,0.145013,0.043834,0.017041,0.292750,631,8080228,139035,0,5408
70586,16.684625,16.571166,10.553016,0.000000,6.481500,6.310112,0.171304,0.048417,0.012833,1.249709,640,8086480,129374,0,7210
70587,16.710125,16.871008,10.985771,0.000000,5.920709,5.757321,0.163304,0.136000,0.233542,0.292583,639,8157409,144738,0,5408
70588,16.570500,16.153806,10.835566,0.000000,5.208708,5.175502,0.032873,0.056084,0.015166,0.780333,624,7972138,134210,0,5408
70589,16.653625,16.547801,10.514204,0.000000,6.499124,6.306862,0.192179,0.054417,0.015708,0.590250,640,8074446,130046,0,7210
70590,16.758209,16.641880,11.092320,0.000000,5.875624,5.827502,0.048122,0.047666,0.019917,1.011417,632,8092257,140432,0,5408
70591,16.722083,16.596764,10.657025,0.000000,6.079541,5.894237,0.185221,0.055708,0.013125,1.259375,633,8080255,138805,0,5408
70592,16.575958,16.427700,10.472077,0.000000,6.551084,6.386196,0.164804,0.050917,0.010625,0.656125,641,8070925,128731,0,7210
70593,16.738209,16.656446,10.766950,0.000000,6.078876,5.924196,0.154596,0.040958,0.017583,0.991874,632,8080229,141291,0,5408
70594,16.779083,16.653833,10.741038,0.000000,5.965708,5.809404,0.156221,0.047625,0.015875,0.294375,634,8080238,138039,0,5408
70595,16.537500,16.384651,11.310030,0.000000,6.212583,6.204376,0.008207,0.060125,0.020292,0.964375,638,8055584,128691,0,7210
70596,16.794500,16.687155,10.818539,0.000000,5.992458,5.839404,0.152971,0.042625,0.010208,0.290791,632,8080227,140364,0,5408
70597,16.672292,16.534837,10.587322,0.000000,6.008292,5.804696,0.203513,0.044666,0.010167,0.940417,633,8080233,138790,0,5408
70598,16.619166,16.518416,10.536892,0.000000,6.505792,6.329237,0.176430,0.053417,0.013208,1.259833,640,8086449,129244,0,7210
70599,16.596959,16.503328,11.177412,0.000000,5.891415,5.876960,0.014455,0.042500,0.012416,0.468000,633,8080200,141282,0,5408
70600,16.756583,16.633656,10.727327,0.000000,6.140250,5.980737,0.159430,0.038792,0.047541,0.974916,631,8080235,138362,0,5408
70601,16.791583,16.647742,10.616017,0.000000,6.653125,6.491821,0.161221,0.043292,0.010042,0.629291,639,8071008,129311,0,7210
70602,16.667417,16.566657,10.728908,0.000000,5.895542,5.694696,0.200721,0.036792,0.013291,0.988542,633,8080219,141185,0,5408
70603,16.575125,16.452922,10.489399,0.000000,6.058083,5.884570,0.173430,0.057125,0.021625,0.289834,655,8080313,138303,0,5408
70604,16.423042,16.297397,10.272766,0.000000,6.655166,6.484487,0.170596,0.054166,0.011792,0.948125,641,8085808,131715,0,7361
