frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
11578,16.907250,16.918755,0.000000,6.418334,6.251569,0.166556,0.055375,0.028625,0.972334,633,8095619,129522,0,5408
11579,16.496042,16.477373,0.000000,5.866875,5.689819,0.176681,0.057083,0.022625,0.607959,639,8070986,129469,0,7210
11580,16.692208,16.647670,0.000000,6.210292,6.092319,0.117889,0.057167,0.037250,0.975083,653,8055731,134736,0,7449
11581,16.737500,16.725497,0.000000,6.461709,6.312111,0.149473,0.046917,0.047375,0.289875,630,8063287,130917,0,5408
11582,16.525875,16.514669,0.000000,6.249250,6.248625,0.000625,0.060709,0.030791,1.073958,642,8101895,130209,0,7210
11583,16.757084,16.707838,0.000000,6.641666,6.479444,0.162139,0.048708,0.012500,0.671042,632,8049352,130861,0,5408
11584,16.779375,16.761253,0.000000,6.560166,6.408277,0.151806,0.056541,0.019500,0.878709,633,8080265,129365,0,5408
11585,16.570916,16.604171,0.000000,6.491875,6.488250,0.003625,0.049542,0.034083,0.973375,642,8101903,131162,0,7210
11586,16.718000,16.675912,0.000000,6.516042,6.350278,0.165681,0.044584,0.058375,0.581792,630,8049290,130975,0,5408
11587,16.758209,16.757638,0.000000,6.586708,6.403944,0.182681,0.048416,0.032792,0.975749,633,8080250,129085,0,5408
11588,16.620625,16.602792,0.000000,6.666166,6.609583,0.056583,0.055625,0.013416,0.644833,642,8101874,128636,0,7210
11589,16.733250,16.713310,0.000000,6.408917,6.252278,0.156555,0.050958,0.030042,0.969250,632,8049877,131354,0,5408
11590,16.709958,16.647999,0.000000,6.637541,6.456361,0.181097,0.043958,0.013209,0.606917,629,8079685,128339,0,5408
11591,16.679167,16.674956,0.000000,6.632541,6.453069,0.179389,0.054000,0.011541,1.272792,642,8101890,129705,0,7210
11592,16.588416,16.606912,0.000000,6.516249,6.355569,0.160430,0.048125,0.012000,0.967042,631,8064785,130542,0,5408
11593,16.752625,16.719209,0.000000,6.645250,6.458944,0.186222,0.046584,0.048541,0.305417,631,8064803,129921,0,5408
11594,16.592250,16.587168,0.000000,6.583210,6.582542,0.000668,0.047667,0.017458,1.056625,641,8101873,129437,0,7210
11595,16.740125,16.716176,0.000000,6.747252,6.574362,0.172806,0.040834,0.010958,0.297959,631,8049350,130284,0,5408
11596,16.680125,16.669960,0.000000,6.711542,6.526236,0.185222,0.046834,0.010500,0.942833,633,8095661,128563,0,5408
11597,16.669667,16.608409,0.000000,6.615417,6.581292,0.034125,0.045208,0.011917,0.297791,640,8071118,129618,0,7210
11598,16.693667,16.703452,0.000000,6.635458,6.463903,0.171472,0.049333,0.010208,0.973709,631,8064749,130972,0,5408
11599,16.696208,16.673966,0.000000,6.880166,6.691360,0.188723,0.041917,0.035916,1.292167,631,8080155,128843,0,5408
11600,16.666000,16.675821,0.000000,6.841208,6.648820,0.192305,0.040750,0.017750,0.667208,642,8102120,129547,0,7210
11601,17.010125,16.980876,0.000000,6.650833,6.474903,0.175889,0.062583,0.013459,0.950709,627,8049162,129621,0,5408
11602,16.321458,16.297996,0.000000,5.753750,5.613486,0.140056,0.051084,0.014416,0.654542,631,8080318,129644,0,5408
11603,16.700292,16.662663,0.000000,6.418876,6.417153,0.001598,0.053667,0.036166,1.131458,640,8070952,130563,0,7210
11604,16.765208,16.725621,0.000000,6.805000,6.636861,0.168056,0.048667,0.012333,0.290375,631,8080229,127863,0,5408
11605,16.742584,16.767153,0.000000,6.666500,6.471861,0.194556,0.049250,0.044583,0.787250,633,8080222,129249,0,5408
11606,16.470541,16.452168,0.000000,6.595875,6.420403,0.175347,0.042500,0.016375,0.578125,641,8086752,130050,0,7210
11607,16.879000,16.883292,0.000000,6.705332,6.704458,0.000874,0.070000,0.014792,1.028333,631,8080125,131439,0,5408
11608,16.634667,16.601635,0.000000,6.376541,6.336124,0.040417,0.065333,0.018125,0.582750,631,8062149,126094,0,5920
11609,16.708208,16.753243,0.000000,5.986291,5.985874,0.000417,0.103167,0.015375,0.289666,641,8104398,130538,0,6698
11610,16.663375,16.596495,0.000000,6.535626,6.535418,0.000208,0.052209,0.016000,1.227417,629,8064792,126034,0,5408
11611,16.642042,16.599001,0.000000,6.118875,5.976569,0.142223,0.044625,0.020292,0.625500,640,8071035,125701,0,7210
11612,16.735625,16.726381,0.000000,6.119291,6.010111,0.109097,0.044833,0.029209,1.246666,630,8064803,127041,0,5408
11613,16.643708,16.586247,0.000000,6.185542,6.059570,0.125888,0.044750,0.013125,0.611458,631,8080212,127531,0,5408
11614,16.668042,16.677873,0.000000,6.281417,6.141111,0.140222,0.038292,0.030291,0.911167,637,8071014,125352,0,7210
11615,16.730500,16.722626,0.000000,6.329876,6.204986,0.124806,0.044208,0.019500,1.232959,633,8095702,128000,0,5408
11616,16.541500,16.539681,0.000000,6.250250,6.128612,0.121555,0.038417,0.029125,0.624333,631,8080226,125366,0,5408
11617,16.633333,16.577611,0.000000,6.549209,6.403653,0.145473,0.037375,0.013959,1.243834,639,8055563,125473,0,7210
11618,16.744125,16.739249,0.000000,6.460625,6.336236,0.124306,0.035167,0.019625,0.608000,632,8082264,127425,0,5408
11619,16.726209,16.689074,0.000000,6.470834,6.343987,0.126722,0.033375,0.015875,0.985916,632,8078301,126515,0,5408
11620,16.718666,16.729168,0.000000,6.457292,6.315319,0.141889,0.035125,0.016292,0.608750,640,8086386,124250,0,7210
11621,16.588917,16.586124,0.000000,6.123916,5.997499,0.126417,0.033500,0.028917,1.069958,631,8080285,128508,0,5408
11622,16.842917,16.784755,0.000000,6.476583,6.360695,0.115805,0.038791,0.019500,0.607334,632,8064764,124244,0,5408
11623,16.539625,16.524807,0.000000,6.377000,6.376583,0.000417,0.041750,0.012250,1.078876,637,8071135,124512,0,7210
11624,16.816083,16.815931,0.000000,6.535125,6.405611,0.129430,0.034917,0.018125,1.213791,632,8095631,127358,0,5408
11625,16.122833,16.122288,0.000000,6.370042,6.243668,0.126374,0.030834,0.060500,0.578958,643,8155263,127099,0,5812
11626,17.021959,16.967209,0.000000,6.037208,5.892861,0.144264,0.037958,0.030500,1.107250,632,7978386,140033,0,7210
11627,16.808291,16.775799,0.000000,6.261583,6.136361,0.125097,0.036292,0.019250,0.456667,631,8080208,130014,0,5408
11628,16.691459,16.712306,0.000000,6.312334,6.188736,0.123514,0.037291,0.016584,0.751916,633,8091054,127289,0,5408
11629,16.583375,16.538606,0.000000,6.293417,6.147069,0.146223,0.034333,0.015833,0.622583,639,8060168,128412,0,7210
11630,16.706416,16.709854,0.000000,6.330875,6.203570,0.127222,0.044709,0.025500,0.746083,634,8095773,130090,0,5408
11631,16.798209,16.741513,0.000000,6.643417,6.521028,0.122347,0.038875,0.016833,1.231416,632,8064682,126270,0,5408
11632,16.501541,16.501528,0.000000,6.424124,6.275194,0.148847,0.037375,0.025500,0.454875,640,8070988,126493,0,7210
11633,16.833584,16.798785,0.000000,6.501168,6.372611,0.128473,0.034708,0.017292,1.233583,631,8080254,130075,0,5408
11634,17.608208,17.635045,0.000000,6.529292,6.400987,0.128222,0.049583,0.013125,0.628500,639,8139555,126217,0,5865
11635,15.600667,15.581794,0.000000,1.956917,1.956459,0.000125,0.047958,0.022792,0.898542,638,8040322,194999,0,7210
11636,16.752083,16.726568,0.000000,6.292125,6.131486,0.160556,0.046833,0.030917,0.608208,633,8080097,139886,0,5408
11637,16.652875,16.615063,0.000000,5.760833,5.623195,0.137347,0.037792,0.021375,0.746333,631,8049215,139167,0,5408
11638,16.940375,16.941154,0.000000,5.714499,5.585319,0.128889,0.049333,0.026917,0.901209,643,8101894,138616,0,7210
11639,16.373500,16.312804,0.000000,5.404834,5.343250,0.061334,0.047125,0.029083,0.460125,629,8049353,138684,0,5408
11640,16.803083,16.825973,0.000000,5.757751,5.620028,0.137430,0.045084,0.013250,0.893042,635,8095674,139142,0,5408
11641,16.851209,16.832866,0.000000,5.515208,5.422694,0.092222,0.054208,0.015250,0.289542,641,8086723,139859,0,7210
11642,16.546500,16.483049,0.000000,5.278000,5.273958,0.003834,0.059541,0.025709,0.970375,630,8049098,138671,0,5408
11643,16.602583,16.630001,0.000000,5.496667,5.410918,0.085458,0.050333,0.022375,0.659167,633,8104268,138146,0,5408
11644,16.701250,16.683257,0.000000,5.331751,5.327834,0.003750,0.058250,0.016833,1.138209,636,8062400,138404,0,7210
11645,16.710958,16.672591,0.000000,5.410541,5.347749,0.062709,0.048209,0.045041,0.290625,632,8064751,141226,0,5408
11646,16.672125,16.637411,0.000000,5.891376,5.726653,0.164514,0.057000,0.014167,1.039459,633,8080242,136369,0,5408
11647,16.689834,16.711766,0.000000,6.196584,6.185792,0.010792,0.063625,0.031250,0.912167,643,8101936,138865,0,7210
11648,16.692041,16.651788,0.000000,6.372251,6.203778,0.168348,0.046459,0.018083,0.607542,630,8064735,137879,0,5408
11649,16.722750,16.742589,0.000000,6.091666,5.915611,0.175972,0.056459,0.015208,0.900792,631,8064813,138208,0,5408
11650,16.594084,16.586181,0.000000,6.286209,6.100236,0.185889,0.060125,0.019541,0.289500,642,8117439,136641,0,7210
11651,16.583791,16.518339,0.000000,5.622459,5.512861,0.109181,0.049500,0.011667,0.964416,629,8033810,146686,0,5408
11652,16.800875,16.789752,0.000000,5.604292,5.498403,0.105514,0.063917,0.017667,0.297125,633,8095700,146100,0,5408
11653,16.487709,16.490468,0.000000,5.774750,5.628653,0.145722,0.047708,0.011833,1.242874,642,8088420,145351,0,7210
11654,16.817166,16.784206,0.000000,5.823792,5.673944,0.149431,0.045917,0.046833,1.308375,629,8047308,149000,0,5408
11655,16.097250,16.396638,0.000000,5.550207,5.549709,0.000207,0.048625,0.307625,0.625000,665,8299182,153060,0,7858
11656,17.348125,17.051728,0.000000,5.072959,5.072500,0.000250,0.060209,0.032875,1.293417,615,7879473,156411,0,5408
11657,16.655875,16.602873,0.000000,5.364708,5.316416,0.048125,0.047625,0.016542,0.616125,630,8080237,150141,0,5408
11658,16.753250,16.748539,0.000000,5.566335,5.468570,0.097264,0.052709,0.014208,0.943791,633,8086684,148905,0,5408
11659,16.632709,16.653877,0.000000,5.398416,5.329875,0.068333,0.100625,0.015250,0.445541,640,8080101,152159,0,7210
11660,16.816666,16.807944,0.000000,5.645751,5.529861,0.115681,0.058625,0.053334,0.753375,635,8095537,148532,0,5408
11661,16.608167,16.567994,0.000000,5.328374,5.276153,0.051805,0.057500,0.013333,0.632125,633,8025872,149642,0,7006
11662,16.610000,16.569030,0.000000,4.878874,4.861083,0.017583,0.058625,0.035625,1.119126,637,8094473,150035,0,5612
11663,16.672250,16.666292,0.000000,5.365875,5.312166,0.053459,0.046000,0.013500,1.086833,631,8080235,149368,0,5408
11664,16.743542,16.727517,0.000000,5.540582,5.446486,0.093680,0.056250,0.016625,0.617375,640,8071238,148797,0,7210
11665,16.709458,16.682516,0.000000,5.278792,5.238250,0.040375,0.053458,0.015792,1.378458,631,8080011,151067,0,5408
11666,16.647375,16.624257,0.000000,5.469250,5.387527,0.081348,0.050417,0.017541,0.288917,634,8080206,148943,0,5408
11667,16.607625,16.605790,0.000000,5.327500,5.271501,0.055749,0.045833,0.013209,0.942417,638,8061187,149184,0,7210
11668,16.746083,16.761340,0.000000,5.518499,5.427111,0.090972,0.059875,0.049625,0.289708,631,8090316,150281,0,5408
11669,16.687042,16.603903,0.000000,5.306000,5.263041,0.042709,0.056042,0.012916,0.959499,633,8079966,150074,0,5408
11670,16.676792,16.683710,0.000000,5.575416,5.470486,0.104597,0.050291,0.014459,1.281041,639,8070998,148745,0,7210
11671,16.649625,16.644137,0.000000,5.434292,5.433792,0.000334,0.048250,0.019625,0.674334,632,8080231,150801,0,5408
11672,16.713375,16.719378,0.000000,4.898167,4.897319,0.000306,0.068041,0.023834,0.922584,634,8080401,148807,0,5408
11673,16.647208,16.582782,0.000000,5.527500,5.433195,0.094055,0.052958,0.014792,0.639375,639,8055482,149102,0,7210
11674,16.725083,16.724164,0.000000,5.595960,5.491153,0.104556,0.048375,0.012750,1.307124,631,8095686,150352,0,5408
11675,16.665375,16.652239,0.000000,5.486709,5.402736,0.083598,0.045959,0.017041,0.653041,634,8080127,148856,0,5408
11676,16.720042,16.700622,0.000000,5.539041,5.443236,0.095472,0.057833,0.016084,0.964458,640,8070998,148484,0,7210
11677,16.683833,16.642928,0.000000,5.341791,5.274041,0.067500,0.048125,0.011792,0.600500,632,8080235,151054,0,5408
11678,16.748000,16.755545,0.000000,5.623667,5.510611,0.112681,0.048917,0.011833,0.656500,631,8080232,148206,0,5408
11679,16.589375,16.580165,0.000000,5.498708,5.408153,0.090222,0.062000,0.018542,1.264084,640,8071018,148922,0,7210
11680,16.733250,16.690816,0.000000,5.458167,5.376861,0.081056,0.045084,0.017125,0.446209,630,8064797,149140,0,5408
11681,16.582750,16.608676,0.000000,5.361333,5.308333,0.052709,0.056000,0.055417,0.786374,635,8111105,151006,0,5408
11682,16.672917,16.614667,0.000000,5.449542,5.374611,0.074514,0.045250,0.010958,0.445000,638,8040114,147954,0,7210
11683,16.815958,16.790540,0.000000,5.465791,5.376319,0.089139,0.043875,0.019917,0.738917,632,8095754,151337,0,5408
11684,16.573709,16.570573,0.000000,5.683834,5.558902,0.124473,0.043083,0.011375,0.609459,631,8064682,147391,0,5408
11685,16.694958,16.694265,0.000000,5.494917,5.410445,0.084264,0.052750,0.010708,0.965708,642,8086545,149829,0,7210
11686,16.685375,16.643714,0.000000,5.719917,5.588861,0.130722,0.043292,0.010041,1.296375,631,8080203,149299,0,5408
11687,16.679667,16.649007,0.000000,5.488416,5.487957,0.000209,0.061500,0.012708,0.605042,652,8054176,150394,0,7449
11688,16.648750,16.638750,0.000000,5.594376,5.489070,0.104972,0.043375,0.010875,1.256333,642,8071103,147784,0,7210
11689,16.704666,16.692169,0.000000,5.408416,5.338542,0.069666,0.049959,0.012958,0.379791,632,8080243,150668,0,5408
11690,16.803542,16.772133,0.000000,5.754583,5.613152,0.140931,0.056708,0.014209,0.963874,634,8080108,147274,0,5408
11691,16.548042,16.553416,0.000000,5.573624,5.473736,0.099430,0.052041,0.013542,0.650625,640,8073597,147819,0,7210
11692,16.746458,16.759669,0.000000,5.534834,5.533959,0.000709,0.058583,0.037334,0.970916,631,8093173,150112,0,5408
11693,16.611667,16.571386,0.000000,5.498666,5.408861,0.089514,0.045291,0.012042,1.277625,632,8080233,149564,0,5408
11694,16.470083,16.481088,0.000000,5.915000,5.746736,0.168097,0.043167,0.035583,0.662584,646,8116517,152253,0,7339
11695,16.997875,16.945474,0.000000,5.361166,5.303208,0.057583,0.048792,0.020541,1.251208,628,8033897,152365,0,5408
11696,16.271500,16.263871,0.000000,5.745751,5.734750,0.010876,0.056250,0.013583,0.625958,631,8048652,142548,0,5537
11697,16.932542,16.917521,0.000000,5.470000,5.464626,0.005082,0.061333,0.015583,0.932251,643,8086409,152685,0,7210
11698,16.980541,16.982671,0.000000,5.698167,5.570111,0.127681,0.097459,0.015083,0.623542,634,8111124,148100,0,5408
11699,16.505500,16.469277,0.000000,5.084375,5.071291,0.012584,0.065250,0.021125,0.652583,631,8064788,146215,0,5408
11700,16.566709,16.579346,0.000000,5.526750,5.437320,0.089305,0.051291,0.047042,0.289500,643,8070965,147113,0,7210
11701,16.677541,16.648579,0.000000,5.382208,5.324375,0.057708,0.053542,0.014708,0.866916,632,8076193,147177,0,5408
11702,16.656709,16.627584,0.000000,5.725250,5.595583,0.129334,0.042958,0.014542,1.258584,629,8068840,146250,0,5408
11703,16.828041,16.818424,0.000000,5.756041,5.619278,0.136472,0.053042,0.012958,0.464334,644,8086441,146533,0,7210
11704,16.700834,16.673100,0.000000,5.889875,5.726778,0.162847,0.042625,0.009916,1.233583,630,8080151,145392,0,5408
11705,16.692583,16.684852,0.000000,5.762208,5.620111,0.141889,0.049458,0.019375,0.635708,632,8080289,145076,0,5408
11706,16.605917,16.590545,0.000000,5.724626,5.594695,0.129514,0.054083,0.013750,1.341792,638,8055513,145108,0,7210
11707,16.686666,16.643374,0.000000,5.537624,5.441944,0.095347,0.051084,0.016916,0.289666,632,8080244,147519,0,5408
11708,16.687709,16.669379,0.000000,5.541333,5.449291,0.091834,0.050375,0.012791,0.940333,630,8080414,146369,0,5408
11709,16.681416,16.700502,0.000000,5.731833,5.591611,0.139805,0.057084,0.016083,1.053958,641,8086256,148065,0,7210
11710,16.628292,16.613387,0.000000,5.716916,5.593500,0.123291,0.056958,0.038750,0.610291,631,8080198,146390,0,5408
11711,16.772167,16.734785,0.000000,5.689375,5.566819,0.122264,0.055791,0.012375,1.272500,631,8085173,147808,0,5408
11712,16.668791,16.681540,0.000000,5.680249,5.679959,0.000207,0.063125,0.023209,0.656417,641,8081506,148637,0,7210
11713,16.380834,16.324144,0.000000,5.611083,5.505194,0.105514,0.057333,0.015042,1.001583,639,8119018,148465,0,5605
11714,16.852250,16.873628,0.000000,4.960208,4.941374,0.018459,0.050500,0.037833,0.634334,639,8020512,170800,0,7487
11715,16.853083,16.815700,0.000000,5.965501,5.786028,0.179222,0.045250,0.053667,1.300292,634,8073537,145283,0,5492
11716,16.598792,16.552129,0.000000,5.731541,5.589819,0.141431,0.044583,0.018542,0.309125,630,8064814,143306,0,5408
