variant,text_bytes,host_instructions,first_median_ns,first_change_percent,repeat1_change_percent,repeat2_change_percent,repeat3_change_percent
o2,64756,16189,98.178666,-0.744997,-1.533539,0.147399,-1.482889
o3,65244,16311,98.816668,-0.271480,,,,
os,64128,16032,98.898500,-0.838888,,,,
oz,40280,10070,125.264250,26.039709,,,,
no_vector,64756,16189,97.451916,-1.862675,-2.035832,-1.869651,-1.057211
no_unroll,64756,16189,98.771000,-1.069144,,,,
apple_m1,64756,16189,94.925168,-2.459610,-1.453355,-0.565430,-1.287279
native,64756,16189,98.151584,-3.482378,-1.058732,-2.111117,-0.621140
